instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,yr_label,weekday_label,temp_celsius,atemp_celsius,hum_pct,windspeed_kmh,perf_cluster
1,1/1/2011,1,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Spring,Mist/Cloudy,2011,Sat,14.110847,18.18125,80.5833,10.749882,Low
2,1/2/2011,1,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,Spring,Mist/Cloudy,2011,Sun,14.902598,17.68695,69.6087,16.652113,Low
3,1/3/2011,1,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Spring,Clear/Partly Cloudy,2011,Mon,8.050924,9.47025,43.7273,16.636703,Low
4,1/4/2011,1,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,Spring,Clear/Partly Cloudy,2011,Tue,8.2,10.6061,59.0435,10.739832,Low
5,1/5/2011,1,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Spring,Clear/Partly Cloudy,2011,Wed,9.305237,11.4635,43.6957,12.5223,Low
6,1/6/2011,1,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Spring,Clear/Partly Cloudy,2011,Thu,8.378268,11.66045,51.8261,6.0008684,Low
7,1/7/2011,1,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Spring,Mist/Cloudy,2011,Fri,8.057402,10.44195,49.8696,11.304642,Low
8,1/8/2011,1,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,Spring,Mist/Cloudy,2011,Sat,6.765,8.1127,53.5833,17.875868,Low
9,1/9/2011,1,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,Spring,Clear/Partly Cloudy,2011,Sun,5.671653,5.80875,43.4167,24.25065,Low
10,1/10/2011,1,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Spring,Clear/Partly Cloudy,2011,Mon,6.184153,7.5444,48.2917,14.958889,Low
11,1/11/2011,1,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Spring,Mist/Cloudy,2011,Tue,6.932731,9.5732,68.6364,8.182844,Low
12,1/12/2011,1,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Spring,Clear/Partly Cloudy,2011,Wed,7.081807,8.02365,59.9545,20.410009,Low
13,1/13/2011,1,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,Spring,Clear/Partly Cloudy,2011,Thu,6.765,7.54415,47.0417,20.167,Low
14,1/14/2011,1,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Spring,Clear/Partly Cloudy,2011,Fri,6.59567,9.42065,53.7826,8.478716,Low
15,1/15/2011,1,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Spring,Mist/Cloudy,2011,Sat,9.566653,12.4056,49.875,10.583521,Low
16,1/16/2011,1,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,Spring,Clear/Partly Cloudy,2011,Sun,9.498347,11.71085,48.375,12.625011,Low
17,1/17/2011,1,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,Spring,Mist/Cloudy,2011,Mon,7.209153,8.83855,53.75,12.999139,Low
18,1/18/2011,1,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,Spring,Mist/Cloudy,2011,Tue,8.883347,11.61665,86.1667,9.833925,Low
19,1/19/2011,1,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Spring,Mist/Cloudy,2011,Wed,11.979134,14.9211,74.1739,13.957239,Low
20,1/20/2011,1,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Spring,Mist/Cloudy,2011,Thu,10.728347,12.7525,53.8333,13.125568,Low
21,1/21/2011,1,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Spring,Clear/Partly Cloudy,2011,Fri,7.2775,7.89165,45.7083,23.667214,Low
22,1/22/2011,1,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,Spring,Clear/Partly Cloudy,2011,Sat,2.4243464,3.95348,40,11.52199,Low
23,1/23/2011,1,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Spring,Clear/Partly Cloudy,2011,Sun,3.9573897,4.941955,43.6522,16.5222,Low
24,1/24/2011,1,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Spring,Clear/Partly Cloudy,2011,Mon,3.9930433,5.8965,49.1739,10.60811,Low
25,1/25/2011,1,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Spring,Mist/Cloudy,2011,Tue,9.162598,11.7263,61.6957,8.696332,Low
26,1/26/2011,1,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,Spring,Light Rain/Snow,2011,Wed,8.9175,10.18,86.25,19.68795,Low
