instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,season_label,weather_label,yr_label,weekday_label,temp_celsius,atemp_celsius,hum_pct,windspeed_kmh
1,1/1/2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0,3,13,16,Spring,Clear/Partly Cloudy,2011,Sat,9.84,14.395,81,0
2,1/1/2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0,8,32,40,Spring,Clear/Partly Cloudy,2011,Sat,9.02,13.635,80,0
3,1/1/2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0,5,27,32,Spring,Clear/Partly Cloudy,2011,Sat,9.02,13.635,80,0
4,1/1/2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0,3,10,13,Spring,Clear/Partly Cloudy,2011,Sat,9.84,14.395,75,0
5,1/1/2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0,0,1,1,Spring,Clear/Partly Cloudy,2011,Sat,9.84,14.395,75,0
6,1/1/2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Spring,Mist/Cloudy,2011,Sat,9.84,12.88,75,6.0032
7,1/1/2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0,2,0,2,Spring,Clear/Partly Cloudy,2011,Sat,9.02,13.635,80,0
8,1/1/2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0,1,2,3,Spring,Clear/Partly Cloudy,2011,Sat,8.2,12.88,86,0
9,1/1/2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0,1,7,8,Spring,Clear/Partly Cloudy,2011,Sat,9.84,14.395,75,0
10,1/1/2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0,8,6,14,Spring,Clear/Partly Cloudy,2011,Sat,13.12,17.425,76,0
11,1/1/2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,Spring,Clear/Partly Cloudy,2011,Sat,15.58,19.695,76,16.9979
12,1/1/2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,Spring,Clear/Partly Cloudy,2011,Sat,14.76,16.665,81,19.0012
13,1/1/2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,Spring,Clear/Partly Cloudy,2011,Sat,17.22,21.21,77,19.0012
